c2;c3;NameAuto;c4;c4o;c5;c5m;c6;c6a;c7;c8;c8_o;ListVehicles;PARENT_KEY;KEY;Fexp
1;E;Motocicleta;1;;;;2;8;2017;1;;Vehículo No. 1: Motocicleta (2017);uuid:7cbee24e-6e88-42ab-b3c5-f458be183237;uuid:7cbee24e-6e88-42ab-b3c5-f458be183237/accepted/C/C.1/vehicles[1];119,80
1;A;Automóvil;1;;1;11001;2;1;2015;1;;Vehículo No. 1: Automóvil (2015);uuid:6b2316e0-ffaa-4766-a4d1-519391fc2692;uuid:6b2316e0-ffaa-4766-a4d1-519391fc2692/accepted/C/C.1/vehicles[1];118,76
1;E;Motocicleta;1;;;;2;8;2020;1;;Vehículo No. 1: Motocicleta (2020);uuid:59588a4a-e2d6-4c02-88b8-fd7614d58504;uuid:59588a4a-e2d6-4c02-88b8-fd7614d58504/accepted/C/C.1/vehicles[1];119,47
1;E;Motocicleta;1;;;;2;8;2002;1;;Vehículo No. 1: Motocicleta (2002);uuid:b7936051-024c-4efa-aa67-3712154ba39a;uuid:b7936051-024c-4efa-aa67-3712154ba39a/accepted/C/C.1/vehicles[1];119,88
1;A;Automóvil;1;;1;11001;2;1;2018;1;;Vehículo No. 1: Automóvil (2018);uuid:a029955e-81fc-4896-9dce-f4c1e80f0fad;uuid:a029955e-81fc-4896-9dce-f4c1e80f0fad/accepted/C/C.1/vehicles[1];257,50
1;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 1: Motocicleta (2021);uuid:c7397e5c-43e8-42fe-8b33-2ef810afcfb4;uuid:c7397e5c-43e8-42fe-8b33-2ef810afcfb4/accepted/C/C.1/vehicles[1];121,30
1;A;Automóvil;1;;1;11001;2;1;2020;1;;Vehículo No. 1: Automóvil (2020);uuid:4f873fb5-12bc-439f-ba2a-760cec5fa4c5;uuid:4f873fb5-12bc-439f-ba2a-760cec5fa4c5/accepted/C/C.1/vehicles[1];120,96
1;A;Automóvil;1;;1;11001;2;1;1995;1;;Vehículo No. 1: Automóvil (1995);uuid:44c24c04-f6b5-4d7f-b232-cc4466ed030d;uuid:44c24c04-f6b5-4d7f-b232-cc4466ed030d/accepted/C/C.1/vehicles[1];109,55
1;I;Camión;1;;1;11001;1;1;2015;1;;Vehículo No. 1: Camión (2015);uuid:f3c09a36-1658-4de5-b6e2-1187339e3581;uuid:f3c09a36-1658-4de5-b6e2-1187339e3581/accepted/C/C.1/vehicles[1];246,71
1;A;Automóvil;1;;1;11001;2;1;2022;1;;Vehículo No. 1: Automóvil (2022);uuid:67acb7eb-fe90-4449-b5ca-618f62bba5db;uuid:67acb7eb-fe90-4449-b5ca-618f62bba5db/accepted/C/C.1/vehicles[1];155,86
2;E;Motocicleta;1;;;;2;8;2022;1;;Vehículo No. 2: Motocicleta (2022);uuid:67acb7eb-fe90-4449-b5ca-618f62bba5db;uuid:67acb7eb-fe90-4449-b5ca-618f62bba5db/accepted/C/C.1/vehicles[2];155,86
1;A;Automóvil;1;;1;11001;2;1;2018;1;;Vehículo No. 1: Automóvil (2018);uuid:da05d27e-94ae-4e34-91ae-8e48d8bc8c4d;uuid:da05d27e-94ae-4e34-91ae-8e48d8bc8c4d/accepted/C/C.1/vehicles[1];348,55
1;A;Automóvil;1;;1;11001;2;1;9999;1;;Vehículo No. 1: Automóvil (9999);uuid:ceca0b42-89f3-4975-bd94-a0883d91c2cd;uuid:ceca0b42-89f3-4975-bd94-a0883d91c2cd/accepted/C/C.1/vehicles[1];151,42
2;E;Motocicleta;1;;;;2;8;2019;1;;Vehículo No. 2: Motocicleta (2019);uuid:ceca0b42-89f3-4975-bd94-a0883d91c2cd;uuid:ceca0b42-89f3-4975-bd94-a0883d91c2cd/accepted/C/C.1/vehicles[2];151,42
1;E;Motocicleta;1;;;;2;8;2023;1;;Vehículo No. 1: Motocicleta (2023);uuid:eb5d14f6-de42-4411-b16a-d46f1743a26f;uuid:eb5d14f6-de42-4411-b16a-d46f1743a26f/accepted/C/C.1/vehicles[1];250,48
2;I;Camión;1;;1;11001;2;1;2023;1;;Vehículo No. 2: Camión (2023);uuid:eb5d14f6-de42-4411-b16a-d46f1743a26f;uuid:eb5d14f6-de42-4411-b16a-d46f1743a26f/accepted/C/C.1/vehicles[2];250,48
1;E;Motocicleta;1;;;;2;8;2019;1;;Vehículo No. 1: Motocicleta (2019);uuid:46b1cf4d-79e5-4565-8c52-273da5e2ddf7;uuid:46b1cf4d-79e5-4565-8c52-273da5e2ddf7/accepted/C/C.1/vehicles[1];79,67
1;E;Motocicleta;1;;;;2;8;2017;1;;Vehículo No. 1: Motocicleta (2017);uuid:d230222d-9379-4c1e-b24d-2c0c2228c180;uuid:d230222d-9379-4c1e-b24d-2c0c2228c180/accepted/C/C.1/vehicles[1];229,71
1;E;Motocicleta;1;;;;2;8;2018;1;;Vehículo No. 1: Motocicleta (2018);uuid:f6352eb3-43e5-49cc-8691-379fa41a85dd;uuid:f6352eb3-43e5-49cc-8691-379fa41a85dd/accepted/C/C.1/vehicles[1];123,24
1;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 1: Motocicleta (2021);uuid:48d16a94-6ae5-40bb-8bc8-01e318bf7507;uuid:48d16a94-6ae5-40bb-8bc8-01e318bf7507/accepted/C/C.1/vehicles[1];144,36
